width_ms,rep,t_ms,tau
5,4,0.143600,0.049477
5,4,2.424412,0.049477
5,4,4.151965,0.049477
5,4,6.177777,0.000000
5,4,8.042845,0.000000
5,4,10.056024,0.049477
5,4,12.219582,0.049477
5,4,14.625928,0.000000
5,4,16.178651,0.123691
5,4,18.195847,0.049477
5,4,20.140784,0.074215
5,4,22.405959,0.049477
5,4,24.373124,0.123691
5,4,26.110623,0.024738
5,4,28.127843,0.074215
5,4,30.191923,0.024738
5,4,32.323225,0.123691
5,4,34.163963,0.049477
5,4,36.084788,0.123691
5,4,38.294302,0.024738
5,4,40.152919,0.123691
5,4,42.137478,0.074215
5,4,44.094325,0.074215
5,4,46.441075,0.123691
5,4,48.240264,0.123691
5,4,50.433444,0.049477
5,4,52.311402,0.074215
5,4,54.226845,0.049477
5,4,56.335620,0.024738
5,4,58.152256,0.074215
5,4,60.335023,0.049477
5,4,62.142296,0.074215
5,4,64.134978,0.074215
5,4,66.347011,0.173168
5,5,0.331010,0.024738
5,5,2.325614,0.049477
5,5,4.446984,0.049477
5,5,6.531252,0.000000
5,5,8.489741,-0.024738
5,5,10.609787,0.000000
5,5,12.445631,0.000000
5,5,14.439524,0.123691
5,5,16.633474,0.000000
5,5,18.437165,0.049477
5,5,20.471505,0.123691
5,5,22.652076,0.024738
5,5,24.453886,0.049477
5,5,26.478798,0.074215
5,5,28.452461,0.024738
5,5,30.710575,0.074215
5,5,32.512052,0.074215
5,5,34.704598,0.049477
5,5,36.486406,0.049477
5,5,38.544128,0.024738
5,5,40.455953,0.024738
5,5,42.443942,0.148430
5,5,44.375844,0.123691
5,5,46.450550,0.024738
5,5,48.660233,0.049477
5,5,50.398988,0.049477
5,5,52.405553,0.074215
5,5,54.594316,0.074215
5,5,56.582324,0.074215
5,5,58.637713,0.123691
5,5,60.702039,0.074215
5,5,62.668220,0.074215
5,5,64.547481,0.024738
5,5,66.881440,0.049477
5,6,1.430500,0.024738
5,6,2.904922,0.148430
5,6,4.679695,0.148430
5,6,6.729334,-0.049477
5,6,8.815163,0.000000
5,6,10.808764,0.000000
5,6,12.965995,0.247383
5,6,14.860528,-0.049477
5,6,17.094356,-0.024738
5,6,19.237859,0.123691
